code,name,k_code,k_name,currency,postfix
004700,CHOKWANG LEAT,031501,"Manufacture of Luggage, Footwear and Similar Products",KRW,KRX
001040,CJ,137105,"Activities of Head Offices, Holding Companies and Management Consultancy",KRW,KRX
000120,CJ korea express,084903,Road Freight Transport,KRW,KRX
021240,COWAY,199609,Other Personnal Service Activities n.e.c.,KRW,KRX
030000,Cheil Worldwide,137103,Advertising,KRW,KRX
014820,DWS,032202,Manufacture of Plastic Products,KRW,KRX
078930,GS Holdings,137105,"Activities of Head Offices, Holding Companies and Management Consultancy",KRW,KRX
060980,HALLA HOLDINGS,137105,"Activities of Head Offices, Holding Companies and Management Consultancy",KRW,KRX
097230,HANJIN HVY IND,064102,Heavy Construction,KRW,KRX
005440,HYUNDAI GREEN FOOD,074701,Retail Sale in Non-Specialized Stores,KRW,KRX
011210,HYUNDAI WIA,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,KRW,KRX
014680,Hanchem,032001,Manufacture of Basic Chemicals,KRW,KRX
105630,Hansae,031401,"Manufacture of Sewn Wearing Apparel, Except Fur Apparel",KRW,KRX
000230,ILDONG HOLDINGS,032102,Manufacture of Medicaments,KRW,KRX
003200,ILSHIN SPNG,031301,Spinning of Textiles and Processing of Threads and Yarns,KRW,KRX
105560,KBFinancialGroup,116409,Other Financial Intermediation,KRW,KRX
015760,KEPCO,043501,"Production, Collection and Distribution of Electricity",KRW,KRX
000270,KIA MTR,033001,Manufacture of Motor Vehicles and Engines for Motor Vehicles,KRW,KRX
071050,KIH,116409,Other Financial Intermediation,KRW,KRX
120110,KOLON IND,032005,Manufacture of Man-Made Fibers,KRW,KRX
006650,KPIC,032001,Manufacture of Basic Chemicals,KRW,KRX
000050,KYUNGBANG,031301,Spinning of Textiles and Processing of Threads and Yarns,KRW,KRX
036460,Kogas,043502,"Manufacture of Gas, Distribution of Gaseous Fuel Through Mains",KRW,KRX
093050,LF,031401,"Manufacture of Sewn Wearing Apparel, Except Fur Apparel",KRW,KRX
003550,LG Corp.,137105,"Activities of Head Offices, Holding Companies and Management Consultancy",KRW,KRX
034220,LG Display,032602,Manufacture of Electronic Components,KRW,KRX
051900,LG H&amp;H,032004,Manufacture of Other Chemical Products,KRW,KRX
011070,LG INNOTEK,032602,Manufacture of Electronic Components,KRW,KRX
032640,LG Uplus,106102,Telecommunications,KRW,KRX
023530,LOTTE SHOPPING,074701,Retail Sale in Non-Specialized Stores,KRW,KRX
025860,NAMHAE CHEM,032002,Manufacture of Fertilizers and Nitrogen Compounds,KRW,KRX
010060,OCI,032001,Manufacture of Basic Chemicals,KRW,KRX
103140,POONGSAN,032402,Manufacture of Basic Precious and Non-ferrous Metals,KRW,KRX
012750,S-1,147503,"Security, Guard and Detective Services",KRW,KRX
010950,S-Oil,031902,Manufacture of Refined Petroleum Products,KRW,KRX
005930,SAMSUNG ELEC,032604,Manufacture of Telecommunication and Broadcasting Apparatuses,KRW,KRX
000810,SAMSUNG F &amp; M INS,116501,Insurance,KRW,KRX
007860,SEOYON,137105,"Activities of Head Offices, Holding Companies and Management Consultancy",KRW,KRX
004490,SGBC,032802,Manufacture of Primary Cells and Batteries and Accumulators,KRW,KRX
017670,SK TELECOM,106102,Telecommunications,KRW,KRX
008490,SUHEUNG,032004,Manufacture of Other Chemical Products,KRW,KRX
003240,TAEKWANG IND,032005,Manufacture of Man-Made Fibers,KRW,KRX
000670,YOUNGPOONG,032402,Manufacture of Basic Precious and Non-ferrous Metals,KRW,KRX
111770,Youngone Corp,074608,Wholesale of Non-Specialized Goods,KRW,KRX
139480,emart,074701,Retail Sale in Non-Specialized Stores,KRW,KRX
002790,AMORE Group,137105,"Activities of Head Offices, Holding Companies and Management Consultancy",KRW,KRX
005180,BINGGRAE,031005,Manufacture of Dairy Products and edible Ice Cakes,KRW,KRX
097950,CJ CHEILJEDANG,031007,Manufacture of Other Food Products,KRW,KRX
192820,COSMAX,032004,Manufacture of Other Chemical Products,KRW,KRX
008060,DAEDUCK ELEC,032602,Manufacture of Electronic Components,KRW,KRX
007340,DONGAH TIRE,032201,Manufacture of Rubber Products,KRW,KRX
005830,DONGBU INS,116501,Insurance,KRW,KRX
000150,DOOSAN,137105,"Activities of Head Offices, Holding Companies and Management Consultancy",KRW,KRX
000640,Donga Socio Holdings,137105,"Activities of Head Offices, Holding Companies and Management Consultancy",KRW,KRX
093370,FOOSUNG,032001,Manufacture of Basic Chemicals,KRW,KRX
086790,HANA FINANCIAL GR,116409,Other Financial Intermediation,KRW,KRX
020000,HANDSOME,031401,"Manufacture of Sewn Wearing Apparel, Except Fur Apparel",KRW,KRX
003300,"HANILCEMENT CO.,LTD.",032303,"Manufacture of Cement, Lime and Plaster and Its Products",KRW,KRX
161390,HANKOOK TIRE,032201,Manufacture of Rubber Products,KRW,KRX
000240,HANKOOK TIRE WORLDWIDE,137105,"Activities of Head Offices, Holding Companies and Management Consultancy",KRW,KRX
004150,HANSOL HOLDINGS,137105,"Activities of Head Offices, Holding Companies and Management Consultancy",KRW,KRX
008770,HTL SHILLA,074708,Retail Sale in Other Specialized Stores,KRW,KRX
069960,HYUNDAI DEPARTMENT,074701,Retail Sale in Non-Specialized Stores,KRW,KRX
